Date,Close,High,Low,Open,Volume
2021-05-01,587.4194946289062,615.3404571778539,530.1545813061513,534.8653096681504,7981203
2021-06-01,594.9762573242188,611.5128930522609,552.0398263832957,587.4194334985854,4369320
2021-07-01,660.4359741210938,684.3331426391263,595.9577056395866,598.6565672130882,6562184
2021-08-01,816.436279296875,829.2737795340619,650.2863841494907,668.829493417735,8048037
2021-09-01,873.0985107421875,936.4499457948734,789.9252028264528,820.4204472693172,10381244
2021-10-01,825.6340942382812,906.9875443337551,811.5669458517873,869.5571050818309,2955037
2021-11-01,902.7576293945312,993.7515049619597,801.9757519604974,825.6341475997577,7819743
2021-12-01,965.6663208007812,972.8966205058969,837.2419514258949,882.394609296046,5717315
2022-01-01,867.2453002929688,1018.1475846873201,798.8769359105835,990.4067399368449,6224702
2022-02-01,791.4498291015625,897.1502766666664,779.3992908458973,874.721531758269,4596816
2022-03-01,786.1142578125,804.0980687872141,675.994209789251,792.8150630234103,6007441
2022-04-01,755.6649780273438,812.6712348492961,716.1498862430725,786.1143058141191,3755165
2022-05-01,709.990966796875,774.5356001420455,675.0580196215369,763.301853639272,3743435
2022-06-01,706.4435424804688,776.5064758221952,642.4901297412072,710.0402686228983,3092418
2022-07-01,789.7111206054688,801.1419035352104,688.1641190340538,704.5712927769686,3926546
2022-08-01,833.7387084960938,873.9016519526982,782.5100150893578,805.2344220932155,4128301
2022-09-01,885.6590576171875,943.5568685724651,792.2913884233676,829.6384440401331,5142409
2022-10-01,835.7146606445312,912.8294823651338,827.415349008604,887.2398024707892,1715691
2022-11-01,842.9766845703125,849.6951926373805,778.70614746705,836.3569541483052,2375186
2022-12-01,864.7130126953125,898.4537774404383,819.9558276254239,851.0783819215715,2402848
2023-01-01,961.2423706054688,971.0237089017428,861.6995949776988,881.9539562716867,3601335
2023-02-01,967.1705322265625,1009.6552925172118,944.8906852729502,963.3172391484433,2892989
2023-03-01,975.4002685546875,1034.7732581608614,913.7017378542172,967.6817841337022,1633938
2023-04-01,1066.043212890625,1081.8760269936263,957.7863223023961,975.4003159125066,1788208
2023-05-01,1138.032958984375,1222.0952520960684,1061.5901588026572,1066.0431374540196,4412859
2023-06-01,1185.3828125,1246.8338870604555,1135.4105019471801,1143.7721570782119,3393543
2023-07-01,1198.1483154296875,1225.0145265672973,1155.8450131344875,1191.2708639831837,2542732
2023-08-01,1126.2708740234375,1293.4397280616336,1018.971580634626,1204.3292514310026,6010682
2023-09-01,1166.6630859375,1250.8174822663693,1102.2835528315784,1126.9647736539248,5518126
2023-10-01,1062.5355224609375,1193.4258382533837,1050.6905220503213,1166.6629664653096,3380426
2023-11-01,1179.6478271484375,1208.5418391363319,1038.052442924358,1064.27009527976,6039762
2023-12-01,1103.6214599609375,1218.2061653948542,1070.4651658547193,1170.6277309449333,3578815
2024-01-01,1114.7728271484375,1207.302960024565,1095.4440851776008,1108.1315970518247,3452806
2024-02-01,1059.9090576171875,1169.636800595819,1016.5927746910899,1120.0759192146402,3939625
2024-03-01,1258.876953125,1281.3578095695389,1037.2448036072394,1071.63591357547,4363711
2024-04-01,1411.6771240234375,1487.8042158928795,1194.31279895303,1257.983576241988,3346348
2024-05-01,1581.499267578125,1786.5561930610836,1392.719757149513,1411.6772003472047,6921902
2024-06-01,1657.279052734375,1827.3989330156064,1488.7968732454335,1630.2325762037497,3594870
2024-07-01,1705.962646484375,1776.630818278729,1595.5931061955916,1672.4150440221556,5201216
2024-08-01,1515.61376953125,1724.6964749414628,1495.1875261084597,1708.9916147654835,3655292
2024-09-01,1489.372802734375,1567.300500407549,1458.9571789627103,1517.5022344920544,2405902
2024-10-01,1370.642333984375,1527.4917011748387,1332.424028257603,1490.9133577957662,2608717
2024-11-01,1450.3592529296875,1521.6769890476667,1349.9179885807937,1376.655951545662,1919019
2024-12-01,1271.940673828125,1459.1559204124283,1243.7117475586176,1428.6409234718192,3297660
2025-01-01,1179.5506591796875,1314.7313251011974,1098.6411517916433,1266.1260209664554,1853710
2025-02-01,826.6396484375,1184.7689047878218,806.760140852085,1179.5505340466502,4751180
2025-03-01,1009.5845947265625,1122.9718719727023,805.4576258745822,836.8158213765353,8786716
2025-04-01,1017.5983276367188,1082.6043514865453,898.4869372126861,1006.5482605584143,3005216
2025-05-01,987.3351440429688,1029.3451819980626,936.7638455127436,1017.5983148971648,2121289
2025-06-01,961.103759765625,996.6430580431403,911.3786119842586,994.303600791535,3123021
2025-07-01,926.41064453125,1005.154592340247,917.0032347036133,964.0902896436421,3745892
2025-08-01,909.8785400390625,1016.0776421307029,831.4768834712087,924.2513719184979,9201465
2025-09-01,922.9039916992188,1010.5880786491089,905.3371895332285,912.5734992321975,4039294
2025-10-01,898.799560546875,953.196646665481,886.6225859657021,916.9153117598394,1907235
2025-11-01,855.23193359375,931.2381592790749,811.7641838949821,895.3061402715222,10511259
2025-12-01,854.2838134765625,902.2929610400464,820.5475898698953,855.2819251591288,2183796
2026-01-01,786.7615356445312,870.7526582991873,769.1448400375901,854.3836022984062,3948956
2026-02-01,821.6954345703125,863.1170689883726,747.0865870341681,783.5176630886066,4916908
2026-03-01,775.7000122070312,815.7000122070312,735.2000122070312,780.0,2242780
2026-04-01,949.0499877929688,959.0,788.9500122070312,788.9500122070312,4195244
