Date,Close,High,Low,Open,Volume
2021-05-01,857.5169677734375,867.0435144539778,790.1595214666304,805.7713203057295,52799754
2021-06-01,919.4605712890625,931.1694971957775,834.3090497960425,860.0769040123322,65364558
2021-07-01,1015.2299194335938,1038.5217462509936,864.6093778722694,919.9222411484772,75871459
2021-08-01,1247.665283203125,1273.822579680886,1030.3915069931336,1042.8452783585062,90950328
2021-09-01,1189.878173828125,1334.023565753323,1183.1126263994959,1249.6909912797444,59997896
2021-10-01,1273.693359375,1404.8247183941053,1172.985547076305,1185.0515262526962,85392127
2021-11-01,1328.507568359375,1400.5156618563938,1275.0294795954621,1284.1651299483242,47043983
2021-12-01,1558.5545654296875,1599.8565877198448,1336.9857011630477,1349.1717687517735,59200882
2022-01-01,1287.3712158203125,1582.4481882091468,1224.0471752855406,1562.4717808101248,66332558
2022-02-01,1227.31103515625,1318.6629736047264,1157.6763664949026,1309.1317708333333,54527221
2022-03-01,1305.17138671875,1370.8891118220472,1203.5918461799224,1227.3111575582648,51940545
2022-04-01,1095.875732421875,1325.234950446628,1084.777705743258,1304.779764019373,54886649
2022-05-01,1027.328857421875,1130.6928072789797,909.6027587425201,1079.3372448236603,80746475
2022-06-01,870.4334716796875,1041.908865600586,821.4280778495297,1032.4646836836785,73563574
2022-07-01,912.780029296875,929.6228947629724,840.0117633362086,867.8221217965202,66779268
2022-08-01,964.3447875976562,1017.1279237576103,911.651299050665,948.9758283688741,64497735
2022-09-01,903.8546752929688,1044.0122171375056,882.3023310201213,946.3321041177733,75471101
2022-10-01,952.9636840820312,983.9703790665375,894.5348309613615,905.1093650794197,38109576
2022-11-01,965.1512451171875,984.5976099198963,900.8526361690368,957.9820622379511,54449653
2022-12-01,926.6777954101562,1021.1325323980534,905.343397027917,995.0572060618116,47947417
2023-01-01,925.4014282226562,982.2019741969303,898.0496618712477,928.045454562217,42793489
2023-02-01,1003.1260375976562,1054.7296815309855,908.9903744465923,928.1821861677828,69973662
2023-03-01,1004.5848388671875,1061.8867710682844,949.151988680252,1003.1261001533842,60049496
2023-04-01,933.3333740234375,1018.3973491770748,894.4482605000546,1007.0919310991766,39687710
2023-05-01,1017.0753784179688,1028.4719466343208,930.3246788961744,933.3333617758302,48115748
2023-06-01,1031.0247802734375,1038.637666093521,966.5201998435268,1022.9560316941322,48362453
2023-07-01,1017.0298461914062,1158.5752371561896,986.7606025931148,1035.7202198775774,78887377
2023-08-01,1124.5697021484375,1169.853784889347,1047.8020616943802,1047.8956009592973,50968121
2023-09-01,1144.0775146484375,1235.0198389207019,1126.534619209223,1127.4234135601862,51096873
2023-10-01,1060.1990966796875,1159.141030279213,1027.4523574268894,1144.0775530652386,45104234
2023-11-01,1142.346435546875,1155.1176852771082,1042.094734898461,1058.1405439781502,30924452
2023-12-01,1203.5550537109375,1260.6758278697862,1132.0595671817398,1160.19437420725,47006852
2024-01-01,1261.2431640625,1339.4059327001219,1155.0874691093084,1203.8859659279535,58723954
2024-02-01,1204.6898193359375,1288.4322885194647,1195.611047835445,1257.7913336928157,38060171
2024-03-01,1180.337646484375,1236.6545809100971,1168.989155149646,1217.1256956496861,33266748
2024-04-01,1194.9017333984375,1273.8683299467316,1099.810773653266,1184.1206420386054,59725418
2024-05-01,1161.7545166015625,1271.9767893991154,1157.5934952953373,1194.9016159150797,39949655
2024-06-01,1352.6929931640625,1374.1132957773068,1128.84402550053,1186.8631701311217,48214558
2024-07-01,1470.008056640625,1476.95898507458,1346.8296300000206,1352.692971501749,49974302
2024-08-01,1576.3231201171875,1603.7751267920057,1374.28598327357,1497.2420998439397,41720260
2024-09-01,1519.20361328125,1610.5177022855755,1510.1974522782054,1576.3230979607322,45858250
2024-10-01,1549.4971923828125,1697.063717488526,1521.9006787113824,1521.9006787113824,54226938
2024-11-01,1664.150634765625,1718.0899897826982,1553.8422240550337,1573.474158065616,35483996
2024-12-01,1658.22216796875,1756.8680212482718,1632.8561151387057,1661.915360669777,37910568
2025-01-01,1627.3648681640625,1687.5729219813593,1575.709526802539,1652.7795609133411,39537917
2025-02-01,1446.0120849609375,1664.2478544350506,1436.8278635535064,1627.4135672271173,32364036
2025-03-01,1378.3692626953125,1507.1920464594234,1343.1872425956237,1457.820478789331,42342938
2025-04-01,1460.736083984375,1468.316797743578,1175.3920529828376,1362.5761741490976,53450238
2025-05-01,1529.642333984375,1590.3848490050573,1436.5361595055833,1460.736001217368,35037715
2025-06-01,1639.56201171875,1684.0741754374565,1490.7671664515472,1520.9926190514782,46023421
2025-07-01,1422.5411376953125,1651.2246181393305,1396.0088768737112,1642.47769550057,46843249
2025-08-01,1466.0498046875,1523.7456294667609,1404.3953069750269,1441.5067331730427,31639410
2025-09-01,1385.7901611328125,1550.6638303190489,1377.477177643292,1469.6124527057102,39353906
2025-10-01,1409.640380859375,1472.0865140330723,1378.9616030879295,1386.4828276708129,33829629
2025-11-01,1517.300048828125,1532.0,1383.5999755859375,1419.0999755859375,44283123
2025-12-01,1590.9000244140625,1649.800048828125,1509.699951171875,1515.300048828125,30733081
2026-01-01,1743.0999755859375,1776.5999755859375,1562.800048828125,1591.0,43790198
2026-02-01,1357.800048828125,1854.0,1335.300048828125,1732.0,54641806
2026-03-01,1384.0,1439.199951171875,1304.0999755859375,1335.0,42936789
2026-04-01,1421.5,1531.300048828125,1383.5,1412.5999755859375,39568943
