Date,Close,High,Low,Open,Volume
2021-05-01,1552.3408203125,1619.4710468276785,1326.8592135176762,1333.5812127862741,16743128
2021-06-01,1521.07666015625,1569.9354513646585,1496.0832245927622,1552.3408410823386,9066364
2021-07-01,1537.859130859375,1645.2313638744379,1506.8204129004625,1535.6936184171182,10435178
2021-08-01,1527.8438720703125,1548.325759682757,1467.3905935745404,1538.4005945565855,13622777
2021-09-01,1506.369384765625,1582.0713483226375,1497.9330164092535,1530.6409470458236,9878677
2021-10-01,1391.868896484375,1555.6341037384188,1354.3337525527263,1506.459427180042,8365747
2021-11-01,1294.1962890625,1403.057317772173,1275.8347571253073,1380.5001261681189,10619690
2021-12-01,1353.2264404296875,1356.515161139341,1272.4237847732854,1320.932721909896,10665075
2022-01-01,1301.337158203125,1362.9553595221473,1256.6650495284605,1353.865685122521,7509786
2022-02-01,1324.9979248046875,1350.028933407226,1269.8201078854443,1301.7026638326884,6452306
2022-03-01,1408.9063720703125,1425.0759775113163,1267.9928963745137,1324.9977866415363,8664981
2022-04-01,1511.4970703125,1522.8705943320067,1357.5199179228325,1406.851058950984,6748073
2022-05-01,1486.5115966796875,1527.4382154808147,1408.8151203915731,1516.4757402500911,7559812
2022-06-01,1376.1708984375,1526.8985447316782,1360.5752119718152,1506.9989753048794,5627545
2022-07-01,1468.4493408203125,1502.0009382905937,1373.8569071967224,1377.9757228142437,6649285
2022-08-01,1550.26904296875,1554.8506397516403,1431.8898286743072,1471.6426461553262,7419582
2022-09-01,1508.1097412109375,1569.7057835065812,1437.3968288989138,1529.999290532351,5585163
2022-10-01,1510.2847900390625,1524.3070676191323,1417.96004188132,1505.4719160302814,4581998
2022-11-01,1527.5810546875,1540.54368679637,1455.373896092561,1533.0562326685626,6007403
2022-12-01,1437.8721923828125,1562.9593966964119,1433.8944818943644,1537.7360782400517,9731692
2023-01-01,1359.9559326171875,1444.2365341180075,1342.6879200093833,1439.4633041388392,7190651
2023-02-01,1379.0955810546875,1387.051001780147,1344.0917070127662,1366.4605010789573,5492149
2023-03-01,1410.7767333984375,1430.946108780887,1377.925551057558,1384.2430905173228,5647403
2023-04-01,1492.90478515625,1495.6190102149228,1401.1367410954456,1413.0230292064955,4000337
2023-05-01,1489.488525390625,1604.6081296786147,1460.0535177988945,1492.9046990994736,9417264
2023-06-01,1600.495849609375,1616.5188454770314,1510.6629108357981,1518.816589783194,6943436
2023-07-01,1914.6029052734375,1955.0870507109428,1573.8540082845084,1600.4957306993424,15157485
2023-08-01,1841.2669677734375,1944.989540003096,1809.9320579304876,1913.2754808296093,12129663
2023-09-01,1901.4716796875,1987.227714887386,1814.6726365908667,1841.2670232488792,10228285
2023-10-01,2004.1041259765625,2018.894423106429,1866.9607330092153,1901.4717735186111,10000663
2023-11-01,2082.2275390625,2106.6886871243664,1976.41919122897,2004.1038027493898,9119405
2023-12-01,2423.752685546875,2437.453828931316,2095.6929555966067,2102.639315761604,6942889
2024-01-01,2461.502685546875,2472.8082983385707,2279.2683335337438,2414.4589668721014,7874857
2024-02-01,2420.92626953125,2511.8995874624666,2372.5412782929684,2461.502687432993,4201624
2024-03-01,2596.837158203125,2643.9285995776822,2400.08738609969,2427.8728288928596,5942673
2024-04-01,2706.541748046875,2753.345706966929,2477.359564082001,2612.4065842142045,9195828
2024-05-01,2546.056640625,2836.893364271869,2515.0614093097106,2706.5415115047626,9325433
2024-06-01,2760.728759765625,2980.0802018828967,2583.276568296134,2622.7482923848243,9104639
2024-07-01,3313.185302734375,3325.662646479215,2750.0961238133686,2757.670053768034,11166184
2024-08-01,3534.818359375,3587.7867953597256,3206.276844134019,3253.273660046531,9315839
2024-09-01,3694.209716796875,3777.2311206045065,3477.917112140152,3558.219638936779,12569055
2024-10-01,2973.719970703125,3760.9668168247767,2954.154201884406,3692.8505178721293,10583150
2024-11-01,2805.977783203125,3024.69791320278,2591.481643990978,2990.6639454505857,10835296
2024-12-01,2623.47509765625,2893.931004189275,2617.701032619298,2828.3600277669952,8603686
2025-01-01,2761.3701171875,2876.804351864647,2554.4788562958265,2636.2958744124485,12091281
2025-02-01,2412.033447265625,2911.5471968207635,2359.5765685831466,2780.0626085102926,9309592
2025-03-01,2338.82861328125,2471.09593783785,2291.4607811732167,2412.0332709511836,9938926
2025-04-01,2532.214111328125,2685.4741376430816,2262.198786137749,2338.828799295227,9099163
2025-05-01,2403.51904296875,2688.801761680844,2396.7663057492887,2532.214334600449,11729266
2025-06-01,2381.34423828125,2467.3143157013724,2321.1947471549565,2429.621887322509,9751880
2025-07-01,2221.275390625,2465.236631454207,2170.524251123957,2391.0391297065785,16342487
2025-08-01,2306.849853515625,2342.6624662223107,2127.984360153797,2223.9464628664505,12234753
2025-09-01,2198.620361328125,2477.207355417749,2177.9440866422424,2302.1012444317503,12059550
2025-10-01,2219.0,2304.970077262943,2168.150074319759,2201.0935725817126,11770816
2025-11-01,2145.396240234375,2204.0615414859485,2124.8187503593263,2204.0615414859485,6706502
2025-12-01,2075.699951171875,2193.800048828125,2051.0,2161.5,6707681
2026-01-01,2114.199951171875,2209.89990234375,2029.4000244140625,2086.10009765625,9068550
2026-02-01,2254.5,2301.60009765625,2069.199951171875,2114.0,6903313
2026-03-01,1788.699951171875,2239.89990234375,1782.0,2198.800048828125,9069500
2026-04-01,2150.199951171875,2155.0,1782.0999755859375,1822.0,8181998
