Date,Close,High,Low,Open,Volume
2023-07-01,4169.85009765625,4586.0498046875,3755.0,4585.0498046875,80400
2023-08-01,5997.9501953125,6342.35009765625,4178.75,4270.0,318233
2023-09-01,5884.0,6199.0,5376.0,6199.0,75619
2023-10-01,5112.5,5928.14990234375,4692.0,5884.0,74541
2023-11-01,5487.2998046875,5920.0,4469.35009765625,5180.0,126602
2023-12-01,6000.14990234375,6741.89990234375,5325.0,5650.0,154279
2024-01-01,7966.64990234375,7966.64990234375,6097.0,6097.0,367183
2024-02-01,8460.900390625,9540.0,7701.0,8150.0,272232
2024-03-01,7334.14990234375,8803.5,7100.0498046875,8496.2001953125,208744
2024-04-01,7801.5498046875,8383.849609375,7300.0,7480.0,172721
2024-05-01,8379.599609375,8665.5498046875,7149.60009765625,7801.5498046875,327804
2024-06-01,13742.2998046875,15240.0,8000.0,8599.0,874680
2024-07-01,13912.75,15702.099609375,13150.0,13949.9501953125,251237
2024-08-01,14863.4501953125,15344.0,12717.4501953125,13939.0,133601
2024-09-01,14195.5,14925.0,12900.0,14925.0,342729
2024-10-01,11999.0498046875,14440.0,11224.0498046875,14298.7998046875,241597
2024-11-01,11968.599609375,12599.0,10600.0,11761.0,290310
2024-12-01,13458.599609375,13999.7001953125,11184.0,11968.599609375,452634
2025-01-01,14203.4501953125,17995.0,13201.0,13249.5,648090
2025-02-01,10204.7998046875,14998.9501953125,9756.2998046875,14444.0,357226
2025-03-01,14944.650390625,15180.0,9950.0,10298.0,294150
2025-04-01,12794.0,15076.4501953125,12417.5498046875,14841.0,208134
2025-05-01,15299.0,15900.0,11902.0,12794.0,499708
2025-06-01,15569.0,15850.0,13862.0,15300.0,525163
2025-07-01,14925.0,15818.0,13970.0,15674.0,340231
2025-08-01,14011.0,15195.0,13251.0,14900.0,422618
2025-09-01,15528.0,15945.0,13400.0,14014.0,376264
2025-10-01,17283.0,17900.0,15292.0,15292.0,519906
2025-11-01,18177.0,18597.0,16900.0,17151.0,267591
2025-12-01,18582.0,19387.0,16318.0,18295.0,451638
2026-01-01,18058.0,18580.0,17062.0,18566.0,267529
2026-02-01,17936.0,18850.0,17255.0,18058.0,287038
2026-03-01,14985.0,18250.0,14700.0,17500.0,378991
2026-04-01,15999.0,16597.0,14499.0,15500.0,258881
